	OG	KO.id	KO.description	L1_Col	L1_TSB	L1_FC	DEG	Plant Associated
cds1491	OG0006345			5.14568098843444	3.78552866543761	-0.0468329041275568	nonDEG	nonPA
cds1492	OG0002082	K02564	nagB; glucosamine-6-phosphate deaminase [EC:3.5.99.6]	7.39561052994855	4.54386434793757	2.73424245539421	nonDEG	PA
cds1493	OG0000220	K00884	NAGK; N-acetylglucosamine kinase [EC:2.7.1.59]	7.50803654771274	4.86414689248528	1.68613158943829	nonDEG	nonPA
cds1494				8.64099021426467	12.2779763183256	-2.9941384024238	down	nonPA
cds1495	OG0006257	K01191	MAN2C1; alpha-mannosidase [EC:3.2.1.24]	8.26086363748858	8.11341291827767	0.998250341212673	nonDEG	PA
cds1497	OG0000046	K02025	ABC.MS.P; multiple sugar transport system permease protein	7.30158567024531	5.78912194502203	0.57166039112996	nonDEG	PA
cds1498	OG0000143	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein	7.51932460867159	7.44915468675531	1.01448392323475	nonDEG	PA
cds1499	OG0006164	K00031	IDH1; isocitrate dehydrogenase [EC:1.1.1.42]	7.85855860924941	6.33856331992883	2.08008957391022	up	nonPA
cds15	OG0001040	K03168	topA; DNA topoisomerase I [EC:5.99.1.2]	10.078001365526	9.78477412019744	0.887707352496942	nonDEG	nonPA
cds1500	OG0001850	K00657	speG; diamine N-acetyltransferase [EC:2.3.1.57]	7.66867546084052	6.73534774207364	1.63735651866064	nonDEG	PA
cds1501	OG0001331	K07443	ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein	6.40286031479611	5.35694383799299	1.49692302737952	nonDEG	nonPA
cds1502	OG0000067	K07674	narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]	8.91944664700707	8.69484035709142	0.839039656085571	nonDEG	nonPA
cds1503	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB	6.65169647243212	9.01316031262261	-1.13960961195786	nonDEG	nonPA
cds1504	OG0000021	K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial	7.87222439987347	9.48936410342526	-1.00694915374335	nonDEG	nonPA
cds1505	OG0000021	K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial	7.30240396783311	8.68653043323981	-1.37259473772894	nonDEG	nonPA
cds1506	OG0006165			8.15261027658959	9.15799231316492	-0.353839030013946	nonDEG	nonPA
cds1507	OG0002491	K01478	arcA; arginine deiminase [EC:3.5.3.6]	9.35245844584877	10.7554108348948	-0.73718022319557	nonDEG	nonPA
cds1508	OG0000935	K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	6.48245058722311	4.77866722138558	1.64011886584745	nonDEG	nonPA
cds151	OG0003958			5.18610845282537	3.48323180023477	0.847565796030578	nonDEG	nonPA
cds1510	OG0006258			5.99369487527643	7.233295490412	-0.0107555605508944	nonDEG	nonPA
cds1511	OG0000887	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	9.69271754896886	9.8184117871329	0.550148007873518	nonDEG	nonPA
cds1512	OG0001045	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	7.20489597663054	5.92464407119437	1.33682627923754	nonDEG	nonPA
cds1513				9.9735371233067	9.63536414420215	0.936996078417688	nonDEG	nonPA
cds1514				5.88450332260026	8.94370633462834	-2.20314208866598	down	nonPA
cds1515				5.92947984929563	7.97035910736353	-0.581893820956019	nonDEG	nonPA
cds1516	OG0000231	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	6.91875585956271	6.10718738181765	-0.149545814727546	nonDEG	nonPA
cds1517	OG0000152	K01126	E3.1.4.46; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	8.08128354941617	8.76775431627044	0.00423272090849354	nonDEG	nonPA
cds1518	OG0003118			6.01600768515238	7.70446415849282	-1.63093487482013	nonDEG	nonPA
cds1519	OG0000975	K01951	guaA; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	9.76551417854847	8.09577444462524	2.30870969484132	up	nonPA
cds152	OG0003960	K09992	uncharacterized protein	7.1817902653965	2.94733760782769	3.19978664332554	nonDEG	PA
cds1520	OG0006259			9.26495527234878	9.71391870589019	0.173581422540393	nonDEG	nonPA
cds1521	OG0006346			8.8693657684802	9.38931103069842	0.221925601049239	nonDEG	nonPA
cds1522	OG0000185	K03455	TC.KEF; monovalent cation:H+ antiporter-2, CPA2 family	7.30953906864505	4.87170164034138	3.59472226200221	up	nonPA
cds1523	OG0004434	K07228	TrkA domain protein	5.99583696499624	3.47565844140141	3.29436281134841	up	nonPA
cds1524	OG0000607	K00111	glpA; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	7.19082446523663	3.99317211574434	3.84295641673346	up	nonPA
cds1525	OG0006260	K00088	IMPDH; IMP dehydrogenase [EC:1.1.1.205]	7.3695087653167	5.04070691422527	3.1624053435597	up	nonPA
cds1527	OG0000592	K01997	livH; branched-chain amino acid transport system permease protein	13.492912431381	10.5634043118408	3.53659031971399	up	nonPA
cds1528	OG0000652	K01998	livM; branched-chain amino acid transport system permease protein	4.68996933686254	6.30770737371223	-1.18648989042217	nonDEG	nonPA
cds1529	OG0000207	K01995	livG; branched-chain amino acid transport system ATP-binding protein	7.96714582708146	10.150475953069	-1.43006616337396	nonDEG	nonPA
cds153	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein	5.11455156840467	2.84002824286524	3.59763675821267	nonDEG	nonPA
cds1530	OG0000065	K06861	lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]	5.50266431941858	6.85471242013234	-0.589035913794461	nonDEG	nonPA
cds1531	OG0005127			6.58716907336663	6.93125644615395	0.887472473857258	nonDEG	nonPA
cds1532	OG0000214	K01999	livK; branched-chain amino acid transport system substrate-binding protein	7.06957218165871	7.29086704777217	-0.245536960921053	nonDEG	nonPA
cds1533	OG0000363	K05786	rarD; chloramphenicol-sensitive protein RarD	5.75995090583346	6.90455380744561	-0.972277423559122	nonDEG	nonPA
cds1534	OG0001112	K04078	groES; chaperonin GroES	5.78360376322264	8.08994980898053	-0.992877436641273	nonDEG	nonPA
cds1535	OG0003954			7.23370075748771	5.26451577804881	1.92283644772849	nonDEG	nonPA
cds1536	OG0004435			4.87341347026933	6.45909606670129	-1.63940251722352	nonDEG	nonPA
cds1537	OG0000822	K01409	KAE1; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]	5.40604127437671	6.70230444981753	-0.493514003792751	nonDEG	nonPA
cds1538	OG0000330	K03789	rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	9.6832876346049	11.0165725170926	-0.669846084230769	nonDEG	nonPA
cds1539	OG0000865	K14742	tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	5.86104021330313	7.29671969256755	-0.446416358137518	nonDEG	nonPA
cds1540	OG0000926	K06925	tsaE; tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	7.45621687727605	9.6839736896107	-2.19301000228775	nonDEG	nonPA
cds1541	OG0000467	K01775	alr; alanine racemase [EC:5.1.1.1]	6.5936866725071	9.81908423265645	-2.06039530107455	nonDEG	PA
cds1542	OG0003119	K00997	acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	10.5042384010071	13.0429990121972	-1.93219828039061	down	nonPA
cds1543	OG0000849	K00820	glmS; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	6.81922018601179	7.54407518118724	-1.6535306864064	nonDEG	nonPA
cds1544	OG0002543	K00867	coaA; type I pantothenate kinase [EC:2.7.1.33]	6.46268294152415	6.51269124154874	1.0669511325394	nonDEG	nonPA
cds1545	OG0000212	K03431	glmM; phosphoglucosamine mutase [EC:5.4.2.10]	6.62250454681948	10.2692682973988	-3.38974674398293	down	nonPA
cds1546	OG0001054	K02996	RP-S9; small subunit ribosomal protein S9	10.1621061860726	12.9154422421237	-2.14549270565031	down	nonPA
cds1547	OG0000899	K02871	RP-L13; large subunit ribosomal protein L13	9.28912666688248	12.3680220746375	-2.26033038707482	down	nonPA
cds1548	OG0000700	K06173	truA; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	10.7707763324761	13.7071232587184	-2.30825828950927	down	nonPA
cds1549	OG0000391	K03827	yjaB; putative acetyltransferase [EC:2.3.1.-]	9.84366892613816	12.8766124124815	-2.41416699925676	down	nonPA
cds1550	OG0000954	K02879	RP-L17; large subunit ribosomal protein L17	10.4672154759911	13.5471039744774	-2.44899556912202	down	nonPA
cds1551	OG0000955	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	7.2510152137839	7.46395254752398	0.473844930146947	nonDEG	nonPA
cds1552	OG0001087	K02948	RP-S11; small subunit ribosomal protein S11	5.97643060947152	7.40293445639533	-1.35731226655825	nonDEG	nonPA
cds1553	OG0001088	K02952	RP-S13; small subunit ribosomal protein S13	7.6290029357988	9.35446618315806	-1.0277107426059	nonDEG	nonPA
cds1554	OG0001127	K02919	RP-L36; large subunit ribosomal protein L36	9.69875104449762	11.7051996324121	-1.40661453507991	down	nonPA
cds1555	OG0000801	K02518	infA; translation initiation factor IF-1	7.0767891396283	10.9777566005816	-2.06752556088548	nonDEG	nonPA
cds1556	OG0000154	K00826	E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42]	6.73203250560005	9.92317041838947	-2.48433575708721	down	nonPA
cds1557	OG0000294	K01265	map; methionyl aminopeptidase [EC:3.4.11.18]	8.99111761066402	11.6282048413563	-2.02144885160995	down	nonPA
cds1559	OG0001089	K03076	secY; preprotein translocase subunit SecY	8.08200993990001	11.502096392674	-2.76826484845354	down	nonPA
cds156	OG0000490			7.20348041530297	3.02321748683269	5.43801594102805	up	nonPA
cds1560	OG0000956	K02876	RP-L15; large subunit ribosomal protein L15	8.8744701203117	11.8214507486958	-2.32190108809516	down	nonPA
cds1561	OG0001090	K02907	RP-L30; large subunit ribosomal protein L30	7.51553158796142	11.9186191854846	-3.5585568377784	down	nonPA
cds1562	OG0000957	K02988	RP-S5; small subunit ribosomal protein S5	4.97620573531172	10.1781260785279	-4.36490674753514	down	nonPA
cds1563	OG0000958	K02881	RP-L18; large subunit ribosomal protein L18	5.70345588092475	9.79453229544608	-2.57258766542354	down	nonPA
cds1564	OG0001091	K02933	RP-L6; large subunit ribosomal protein L6	7.57865737599759	9.91044546939409	-1.5864092229383	down	nonPA
cds1565	OG0001092	K02994	RP-S8; small subunit ribosomal protein S8	5.95837597099048	10.0007713598758	-3.93864133086217	down	nonPA
cds1566	OG0001094	K02931	RP-L5; large subunit ribosomal protein L5	7.6850753628606	10.585865228588	-2.00882133159048	down	nonPA
cds1567	OG0001095	K02895	RP-L24; large subunit ribosomal protein L24	8.83326934164997	12.441553579194	-2.96270136298013	down	nonPA
cds1568	OG0001096	K02874	RP-L14; large subunit ribosomal protein L14	8.61026097589353	11.0995323929561	-1.86094724280886	down	nonPA
cds1569	OG0001097	K02961	RP-S17; small subunit ribosomal protein S17	5.52201570885015	9.80609474174194	-3.01836503305918	down	nonPA
cds157	OG0000013	K02529	lacI; LacI family transcriptional regulator	6.40604127437671	3.28067094116103	4.33892376314919	up	PA
cds1570	OG0000959	K02904	RP-L29; large subunit ribosomal protein L29	8.59901902618549	12.0729623068179	-3.456910445076	down	nonPA
cds1571	OG0000960	K02878	RP-L16; large subunit ribosomal protein L16	7.01469814111836	10.389846037324	-2.66040456563751	down	nonPA
cds1572	OG0001098	K02982	RP-S3; small subunit ribosomal protein S3	8.40373028739521	12.3690908301802	-3.28350271415613	down	nonPA
cds1573	OG0000961	K02890	RP-L22; large subunit ribosomal protein L22	10.2444137446728	13.2287036987397	-2.29064512827575	down	nonPA
cds1574	OG0001099	K02965	RP-S19; small subunit ribosomal protein S19	8.24508544263606	12.1429597439676	-2.88125055924408	down	nonPA
cds1575	OG0001100	K02886	RP-L2; large subunit ribosomal protein L2	4.18610845282537	4.71036984196769	-1.23842578345131	nonDEG	nonPA
cds1576	OG0000962	K02892	RP-L23; large subunit ribosomal protein L23	14.8065036443096	15.9465380791889	-0.54825777377654	nonDEG	nonPA
cds1577	OG0001101	K02926	RP-L4; large subunit ribosomal protein L4	9.98274670235785	13.5007892316065	-2.90746121434842	down	nonPA
cds1578	OG0001102	K02906	RP-L3; large subunit ribosomal protein L3	8.42533083559431	12.1083770316573	-3.04586443703919	down	nonPA
cds1579	OG0001103	K02946	RP-S10; small subunit ribosomal protein S10	7.81081431464363	11.7495933098209	-3.34738864288526	down	nonPA
cds158	OG0001719	K01805	xylA; xylose isomerase [EC:5.3.1.5]	6.85749113190329	4.89857446041081	2.6803085549872	up	nonPA
cds1580				9.15463086085199	8.24468742061311	1.50443756730095	up	nonPA
cds1581	OG0000679	K02358	tuf; elongation factor Tu	5.37341347026933	4.9494796975475	0.418737714297895	nonDEG	nonPA
cds1582	OG0000680	K02355	fusA; elongation factor G	6.43805497874181	7.46164471016738	-0.460705075420189	nonDEG	nonPA
cds1583	OG0001104	K02992	RP-S7; small subunit ribosomal protein S7	6.36807340977088	7.48495056950101	-2.30110130595903	nonDEG	nonPA
cds1584	OG0001105	K02950	RP-S12; small subunit ribosomal protein S12	4.98460968093755	7.68194606445172	-2.56390815863133	nonDEG	nonPA
cds1585				8.91355359126213	10.1625003279882	-0.523991500936521	nonDEG	nonPA
cds1586				6.7755494266361	7.37007771646222	0.0222437597285971	nonDEG	nonPA
cds1587	OG0006261			8.47497206909867	8.91200918102993	0.229958240850753	nonDEG	nonPA
cds1588	OG0002297			8.4134551736467	8.34108350290906	0.751735627290239	nonDEG	nonPA
cds1589	OG0000151	K03924	moxR; MoxR-like ATPase [EC:3.6.3.-]	6.30848893551296	4.57216064713307	1.79960393563112	nonDEG	PA
cds159	OG0000119	K00864	glpK; glycerol kinase [EC:2.7.1.30]	6.40330110544172	5.42371683993559	1.4229514100282	nonDEG	nonPA
cds1591	OG0006262			6.6293250738126	5.90635196168768	1.72143730929412	nonDEG	nonPA
cds1592	OG0000107	K12132	prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	4.9311520789793	5.41995511278966	0.166850305940626	nonDEG	nonPA
cds1593	OG0004465			6.5961465159623	5.4925337990914	1.81193552258574	nonDEG	nonPA
cds1594	OG0000809	K20074	prpC; PPM family protein phosphatase [EC:3.1.3.16]	12.2791055629699	11.125837879316	1.77674980953518	up	nonPA
cds1595				8.13717905916494	9.4104256119952	-0.344122028391434	nonDEG	nonPA
cds1596	OG0004436			3.58093221990875	5.33831343769564	-1.65940063058051	nonDEG	nonPA
cds1597				6.38828714196635	5.08380125320693	1.22321748396922	nonDEG	nonPA
cds1598				8.51932460867159	8.33572499845815	1.08177389140657	nonDEG	nonPA
cds1599				7.68199413182398	7.19894358318508	0.664662078822346	nonDEG	nonPA
cds16				7.91199070933092	4.92836191846608	3.7339000429496	up	nonPA
cds160	OG0000060	K00344	qor; NADPH2:quinone reductase [EC:1.6.5.5]	5.78121823507133	4.78150438800409	1.60897534087243	nonDEG	nonPA
cds1600	NA	NA	NA	5.54438710746966	7.03426179194554	0.103577284744634	nonDEG	nonPA
cds1601				5.16521926621968	4.78622946465162	0.951718941787554	nonDEG	nonPA
cds1602				8.59578217722476	8.96507708561862	0.255070618570046	nonDEG	nonPA
cds1603				5.6658947206299	3.16469650668759	2.30443814080367	nonDEG	nonPA
cds1604				6.40850087416182	6.39260950033685	-0.865534801190694	nonDEG	nonPA
cds1605	OG0004465			9.86680541408573	11.8682845371737	-1.39954327542712	down	nonPA
cds1606				11.2986895477005	13.3008547636252	-1.38289518346117	down	nonPA
cds1607				4.94725592327742	3.76714814737346	1.27909078595032	nonDEG	nonPA
cds161	OG0001778	K00865	glxK; glycerate 2-kinase [EC:2.7.1.165]	6.06536583893338	5.15289472797719	2.11435743742312	nonDEG	nonPA
cds1610	OG0000963	K03046	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	7.44031154290464	8.01079402798064	0.00881204924739538	nonDEG	nonPA
cds1611	OG0000964	K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	6.49097924071966	3.78552866543761	3.36404701836905	up	nonPA
cds1612	OG0000704	K06350	kipA; antagonist of KipI	8.07594174144081	7.05723546732905	1.64971055571998	up	nonPA
cds1613	OG0000797	K06351	kipI; inhibitor of KinA	5.28205168191439	3.67419502304163	2.56989902417456	nonDEG	nonPA
cds1614	OG0000416	K07160	UPF0271 protein	6.37114711650169	5.17550366591838	1.27498312006305	nonDEG	nonPA
cds1615	OG0001550	K00797	speE; spermidine synthase [EC:2.5.1.16]	6.63018305503388	4.52149294931806	2.66082153353106	up	PA
cds1616	OG0000710	K21430	yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	7.24149216305164	4.90635196168768	3.03004539947026	up	nonPA
cds1617				6.87498027186801	7.61591086674595	0.00119490655320591	nonDEG	nonPA
cds1618	OG0004489			4.56071848771328	5.5246055708445	-2.31259706566443	nonDEG	nonPA
cds1619	OG0003976			7.31341953745685	7.77719774059498	0.512191799301056	nonDEG	nonPA
cds162	OG0006207			5.87341347026933	5.00397927497513	1.07942661070891	nonDEG	nonPA
cds1620	OG0006263			5.40850087416182	5.57836587318886	-1.45162829855371	nonDEG	nonPA
cds1621	OG0002782			5.30953906864505	6.31738683958555	-0.79950626970268	nonDEG	nonPA
cds1622	OG0005128	K05979	comB; 2-phosphosulfolactate phosphatase [EC:3.1.3.71]	7.52717618466455	7.45513908539893	0.376592527800538	nonDEG	PA
cds1623				5.39869917226671	7.00683327947627	-0.57111977153813	nonDEG	nonPA
cds1624				7.56071848771328	3.4068414822456	2.41849964348689	nonDEG	nonPA
cds1625				5.81971064087798	5.820831501628	-0.215884068866591	nonDEG	nonPA
cds1626				6.71700320909053	6.20015271501991	2.07080414701587	nonDEG	nonPA
cds1627	OG0000684	K13877	aldH; 2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]	5.50266431941858	4.11886199877095	1.20365824367934	nonDEG	nonPA
cds1629	OG0000164	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	6.44725592327742	5.31528337511571	0.745663567764823	nonDEG	nonPA
cds163	OG0000083	K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	4.59682776467534	3.76086180495635	-0.295187021584248	nonDEG	nonPA
cds1633	OG0000028	K11475	vanR; GntR family transcriptional regulator, vanillate catabolism transcriptional regulator	6.447884901738	6.821204467748	-0.157140869948426	nonDEG	nonPA
cds1634	OG0000371	K01262	pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]	5.87341347026933	5.47565844140141	-0.292520868736551	nonDEG	nonPA
cds1635	OG0006264			6.6603615419431	8.59293813236479	-0.702862284486974	nonDEG	nonPA
cds1636	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein	9.76095552929347	8.92212376086637	1.46225169787313	up	nonPA
cds1637	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein	7.44913561335837	5.19583969645075	3.168784339693	up	nonPA
cds1638	OG0000036	K02033	ABC.PE.P; peptide/nickel transport system permease protein	9.3541754845071	7.70386102467214	2.27762306398845	up	PA
cds1639	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein	7.04069897845212	5.38677655493935	2.72247757320351	nonDEG	PA
cds164	OG0000013	K02529	lacI; LacI family transcriptional regulator	6.18610845282537	4.30901630911296	0.641719799452748	nonDEG	PA
cds1641	OG0003627	K09955	uncharacterized protein	7.93461178594919	7.70239215046315	0.218128369417137	nonDEG	PA
cds1642	OG0005129			7.02687343312673	3.32650544907767	4.51262218457807	up	nonPA
cds1643	OG0000140	K22441	paiA; diamine N-acetyltransferase [EC:2.3.1.57]	5.24189626735243	7.36336287755335	-1.22142820044401	nonDEG	nonPA
cds1644	OG0006166			5.5961465159623	7.06352632190787	-0.567066105941078	nonDEG	nonPA
cds1645	OG0000876	K03724	lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]	5.39146810875036	5.7038244994921	0.20429144989832	nonDEG	nonPA
cds165	OG0003128			5.25995090583346	4.00752835637497	1.64374027965036	nonDEG	nonPA
cds1653	OG0003147			6.96480049686575	4.27505643777322	3.05780729929992	up	nonPA
cds1654	OG0002668			6.87377652068388	5.14232510806808	2.82284479601365	up	nonPA
cds1655				6.5319314899815	6.41428048181186	0.809826909028106	nonDEG	nonPA
cds1656	OG0002796			7.17672722466448	7.53341036002582	0.342209918353967	nonDEG	nonPA
cds1657	OG0002094	K20542	bcsZ; endoglucanase [EC:3.2.1.4]	7.67969211619616	9.73806657483135	-1.40084715356597	down	nonPA
cds1658	OG0003977			5.14568098843444	4.21053101460424	-0.511019046411688	nonDEG	nonPA
cds1659	OG0000511	K00721	DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	7.1082199707211	5.88306123885976	1.33382451792372	nonDEG	nonPA
cds166	OG0002004	K01707	kdgD; 5-dehydro-4-deoxyglucarate dehydratase [EC:4.2.1.41]	6.56071848771328	4.02635067359464	1.3330025628623	nonDEG	nonPA
cds1661				7.68596674096004	6.95768858987418	1.91184165216193	nonDEG	nonPA
cds1662	OG0000590	K03316	TC.CPA1; monovalent cation:H+ antiporter, CPA1 family	6.56071848771328	5.62980747173766	-0.236897570860059	nonDEG	PA
cds1663	OG0000879			6.82431257405299	5.72306372635255	2.0050716984915	nonDEG	nonPA
cds1664	OG0005130			7.3992768280082	6.40914795355887	1.57484906185019	nonDEG	nonPA
cds1665	OG0006266			9.28403658962693	3.04258910193899	6.8109846137437	up	nonPA
cds1666				5.18610845282537	4.1228528793263	0.141760539364759	nonDEG	nonPA
cds1667	OG0000529	K18555	qnr; fluoroquinolone resistance protein	9.43947592436778	7.4317529855522	2.66111093334817	up	nonPA
cds1668	OG0003975	K05888	L-gulono-1	6.80384572583161	6.45344604372465	1.0647271933197	nonDEG	nonPA
cds1669				8.75204275573316	7.30090291839021	2.05778749267417	up	nonPA
cds167	OG0000098	K01684	dgoD; galactonate dehydratase [EC:4.2.1.6]	2.60114595210422	3.63746738379149	-1.6580122483179	nonDEG	nonPA
cds1670	OG0000522			8.71991649227859	8.57263785199199	0.754106555403346	nonDEG	nonPA
cds1671	OG0002421			6.28732667096829	6.87975248636039	0.850991199237578	nonDEG	nonPA
cds1672	OG0003133			7.01802617064257	6.26617806227207	1.41750314772992	nonDEG	nonPA
cds1673	OG0003085	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	5.60114595210422	4.76086180495635	-0.119461763944279	nonDEG	nonPA
cds1674	OG0000947	K04485	radA; DNA repair protein RadA/Sms	13.2403589169995	11.5011578357246	2.36905383705844	up	nonPA
cds1675				9.60559655186703	6.21399607172503	4.00915679550153	up	nonPA
cds1676	OG0006167			6.96265840714594	7.87831449745914	-0.31301792975187	nonDEG	nonPA
cds1677	OG0000566	K01119	cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]	4.07877312619431	5.01669098460405	-0.806895776547042	nonDEG	nonPA
cds1678	OG0001971	K14682	argAB; amino-acid N-acetyltransferase [EC:2.3.1.1]	8.86849615097928	9.61981841353801	-0.116381274169767	nonDEG	nonPA
cds1679	OG0000236	K00036	G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	6.46746965547288	1.04258910193899	5.6627433508867	up	nonPA
cds168	OG0000684	K13877	aldH; 2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]	6.18610845282537	3.02146841493984	2.22991289108923	nonDEG	nonPA
cds1681	OG0000118	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB	6.41684843360751	7.17538398303523	0.00170069450245709	nonDEG	nonPA
cds1682	OG0006168			6.03437751771301	5.4990306694081	0.600394023382133	nonDEG	nonPA
cds1683	OG0000319	K06131	clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]	6.463491853989	7.43811044998628	-0.0479395948465421	nonDEG	nonPA
cds1684				5.75995090583346	6.15989091576463	0.38030897083931	nonDEG	nonPA
cds1685	OG0000864	K04567	KARS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]	6.91875585956271	6.28755183521673	-0.316347038342572	nonDEG	nonPA
cds1686	OG0000320	K15977	putative oxidoreductase	6.18394935911094	5.80984975595602	0.506942855312239	nonDEG	nonPA
cds1687	OG0006267			2.60114595210422	6.74449041451092	-4.68834986862795	down	nonPA
cds1688	OG0002544	K08981	putative membrane protein	7.41517574201863	8.55144892578379	-0.452633877128041	nonDEG	nonPA
cds1689	OG0003148	K09167	uncharacterized protein	5.87114711650169	5.88579870643221	0.331455535534636	nonDEG	nonPA
cds1690				7.68367127909829	8.42043786330664	0.120529302972194	nonDEG	nonPA
cds1691	OG0000394	K00950	folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	6.88264658260064	6.63817609436676	-0.883211300459987	nonDEG	nonPA
cds1692	OG0000641	K01633	folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]	5.1658947206299	4.4710565082264	0.754269521969679	nonDEG	nonPA
cds1693	OG0000754	K00796	folP; dihydropteroate synthase [EC:2.5.1.15]	5.96265840714594	3.01155263380849	3.60344142746989	nonDEG	nonPA
cds1694	OG0000410	K01495	GCH1; GTP cyclohydrolase IA [EC:3.5.4.16]	7.03437751771301	6.15250369912325	1.0228544282833	nonDEG	nonPA
cds1695	NA	NA	NA	5.77107095354653	5.81220134180067	-0.898158820426268	nonDEG	nonPA
cds1696	OG0000904	K00760	hprT; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	5.37341347026933	3.52149294931806	1.80226702772955	nonDEG	nonPA
cds1697	OG0001175	K04075	tilS; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]	6.47129688259149	3.23000324334601	2.2112414478086	nonDEG	nonPA
cds1699	OG0000130	K06194	nlpD; lipoprotein NlpD	5.45837597099048	4.44247988355111	1.40222166268168	nonDEG	nonPA
cds1700				6.56071848771328	6.22496761254927	-0.820452024039421	nonDEG	nonPA
cds1702				7.17983511303265	8.32954326527812	-0.416878925928741	nonDEG	nonPA
cds1703	OG0003629			6.55243215619404	5.96393650770785	1.19079368813156	nonDEG	nonPA
cds1704	OG0000568	K03741	arsC2; arsenate reductase (thioredoxin) [EC:1.20.4.4]	4.92307404699158	6.08942585939506	-1.95384930264402	nonDEG	nonPA
cds1705	OG0001895	K07273	acm; lysozyme	4.64287240197838	6.87369183756283	-1.23226981294576	nonDEG	nonPA
cds1706	OG0006268	K02017	modC; molybdate transport system ATP-binding protein [EC:3.6.3.29]	5.39869917226671	7.72374240161745	-1.22043844503032	nonDEG	PA
cds1708	OG0001396	K02020	modA; molybdate transport system substrate-binding protein	5.50266431941858	4.04469779478063	1.74198871396741	nonDEG	nonPA
cds1712	OG0000843	K13038	coaBC; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	6.87325970349608	4.75449219730712	3.14099815741966	up	nonPA
cds1713	OG0002168			4.07877312619431	5.32386341264929	-1.09410758510654	nonDEG	nonPA
cds1715	OG0002281			8.63752028657203	8.56857816885507	0.732800039908874	nonDEG	nonPA
cds1717	OG0002782			5.50266431941858	2.5709099355127	2.24211569043439	nonDEG	nonPA
cds1721	OG0003643	K05937	uncharacterized protein	6.8873573271014	5.89666991001268	1.64999445317747	nonDEG	nonPA
